Episode: 1655, Steps: 474, Reward: -3.424262343986489, FPS: 78
Episode: 1656, Steps: 299, Reward: -2.696905566843803, FPS: 81
Episode: 1657, Steps: 310, Reward: -2.253800153372503, FPS: 80
Episode: 1658, Steps: 350, Reward: -2.733878926561812, FPS: 88
Episode: 1659, Steps: 304, Reward: -2.0418039330162783, FPS: 74
Episode: 1660, Steps: 460, Reward: -3.0443453592890664, FPS: 95
Episode: 1661, Steps: 373, Reward: -2.547496029933483, FPS: 76
Episode: 1662, Steps: 561, Reward: -3.5288827551696613, FPS: 82
Episode: 1663, Steps: 394, Reward: -3.190786968567359, FPS: 82
Episode: 1664, Steps: 491, Reward: -3.055865835844129, FPS: 73
Episode: 1665, Steps: 462, Reward: -2.763406902769395, FPS: 79
Episode: 1666, Steps: 307, Reward: -2.6049785116847364, FPS: 74
Episode: 1667, Steps: 310, Reward: -2.816568879479111, FPS: 90
Episode: 1668, Steps: 331, Reward: -2.803913123086989, FPS: 72
Episode: 1669, Steps: 421, Reward: -2.8406457429923604, FPS: 86
Episode: 1670, Steps: 428, Reward: -2.857114542444022, FPS: 84
Episode: 1671, Steps: 381, Reward: -2.4560520092429843, FPS: 85
Episode: 1672, Steps: 293, Reward: -2.2750420512468965, FPS: 72
Episode: 1673, Steps: 194, Reward: -1.9998632783099768, FPS: 91
Episode: 1674, Steps: 461, Reward: -2.673373082931027, FPS: 83
Episode: 1675, Steps: 381, Reward: -2.512497571015291, FPS: 85
Episode: 1676, Steps: 297, Reward: -2.525796715451663, FPS: 73
Episode: 1677, Steps: 314, Reward: -2.6215498192466997, FPS: 84
Episode: 1678, Steps: 318, Reward: -2.493634578968458, FPS: 77
Episode: 1679, Steps: 367, Reward: -2.5421639296061294, FPS: 76
Episode: 1680, Steps: 434, Reward: -3.170758657291411, FPS: 77
Episode: 1681, Steps: 363, Reward: -2.64087359558896, FPS: 86
Episode: 1682, Steps: 472, Reward: -3.1998710023871126, FPS: 77
Episode: 1683, Steps: 523, Reward: -3.5524501708524956, FPS: 88
Episode: 1684, Steps: 622, Reward: -4.186992837367294, FPS: 85
Episode: 1685, Steps: 444, Reward: -2.73757150872951, FPS: 80
Episode: 1686, Steps: 453, Reward: -3.2615667263169126, FPS: 86
Episode: 1687, Steps: 402, Reward: -3.034520689912858, FPS: 81
Episode: 1688, Steps: 500, Reward: -2.9858001126602334, FPS: 71
